SK_ID_CURR,LGB_Classifier_Bureau,Installments,main
100001,0.289582295713644,0.6315750336172398,0.20417173783342854
100005,0.25141730530628664,0.5856087363538894,0.22203814794279822
100013,0.162634201512408,0.3608784541128691,0.19111562775339355
100028,0.12568023932914948,0.2725729192756158,0.2580111432344598
100038,0.462868848687161,0.39246665281804854,0.23567279389887832
100042,0.08717291360206661,0.37441931003207773,0.22983665527670472
100057,0.12025578220025593,0.39246665281804854,0.20995651026417123
100065,0.22159108337132932,0.39246665281804854,0.22983665527670472
100066,0.37446593744958084,0.25339447404939663,0.1950585234513341
100067,0.23694398681804507,0.4716823883199437,0.2043246685382988
100074,0.15279811991488826,0.5358928922258687,0.24733549842995778
100090,0.3871300939632819,0.21616204196807456,0.23567279389887832
100091,0.34075418835675636,0.42505618197688877,0.16056805205641167
100092,0.11508234986158941,0.2532158644167948,0.23136157840025218
100106,0.3489711632324725,0.4764949493347096,0.2016779172315781
100107,0.3540110568540204,0.3925219742840336,0.16745637516377532
100109,0.08982499367681537,0.42707468385337416,0.20126979372080753
100117,0.20574021951279983,0.4001381876278087,0.2155433311859541
100128,0.09216736875284205,0.39252128115901264,0.1737077217401662
100141,0.3036518698963745,0.5848057463479358,0.2179289747567252
100150,0.26340826947856777,0.5070648200174097,0.18512971686736712
100168,0.32181107987219987,0.24591053940257998,0.20077893941789104
100169,0.307026668994007,0.4021200313533313,0.23392010870571484
100170,0.2914729345698802,0.4725790293504261,0.181078454676092
100171,0.06699325697534736,0.4502413631775437,0.17843114922087752
100172,0.2052891037318919,0.39246665281804854,0.2095510772710034
100184,0.15271114694043778,0.4116293895923723,0.20505256048923515
100187,0.2508009129776344,0.2555320781552214,0.2001363265317093
100212,0.6146620023464361,0.43395650594889223,0.17843114922087752
100222,0.10262828623140904,0.25339447404939663,0.20126979372080753
100223,0.13974697713920312,0.4676948386848589,0.17277223258733188
100232,0.26612198307587615,0.2699399500895777,0.20126979372080753
100241,0.41859837360607305,0.3502688257998195,0.2577900194805994
100245,0.1036639567897484,0.2742772674682147,0.17277223258733188
100253,0.16846436777519325,0.46728977173724506,0.20771070430921548
100256,0.3327814507480637,0.3627873238191142,0.15265796548908275
100271,0.16846436777519325,0.38788254369583797,0.19147329646981567
100278,0.25141730530628664,0.3502688257998195,0.12415548248570955
100280,0.11146465211346764,0.36003749712687355,0.1811077178681109
100306,0.3583231324983483,0.4201343386199948,0.1867791048480414
100311,0.21600260594245385,0.28585958380690085,0.22515512385653114
100312,0.13187065988874475,0.3379103665076753,0.2190310042644486
100330,0.06685824378920138,0.40678247040237786,0.1377872465533733
100331,0.33336935481120805,0.17841530980161252,0.24340531748678407
100352,0.07918121099682962,0.31483352343508825,0.17172394350655537
100358,0.1370154940841413,0.38788254369583797,0.20643867257190865
100367,0.34856067876177615,0.47237307500433445,0.14207761828598356
100382,0.06699325697534736,0.5042588466214094,0.16644401208809495
100384,0.4098975109587131,0.5598070004710449,0.16117597806084968
100385,0.2664693538889925,0.2779963032144616,0.20126979372080753
100386,0.2508009129776344,0.3769345880567691,0.1960860796839179
100399,0.21060320201388444,0.37658390775778666,0.1690202682661925
100404,0.20317481861348802,0.2828229058623085,0.17277223258733188
100416,0.46216479097348195,0.5038865962810446,0.20126979372080753
100422,0.1835404311823671,0.3755853227550409,0.23567279389887832
100426,0.1429870124937558,0.4014181386436442,0.20417173783342854
100438,0.4116336799915214,0.3454776424559008,0.14945059558816987
100444,0.3733320574846146,0.4288548053405144,0.2019034891108583
100445,0.3733320574846146,0.49880783827369973,0.1690202682661925
100446,0.2789281428158742,0.33238309239386116,0.23740356951281347
100447,0.3455883434390556,0.28585958380690085,0.19147329646981567
100450,0.18546804876956544,0.46477456919997334,0.2155433311859541
100466,0.11954908125495059,0.3769345880567691,0.21295030887898378
100483,0.12732086101008086,0.2742772674682147,0.20995651026417123
100484,0.24226333964838673,0.34240710240184985,0.1891587357236828
100494,0.2693873324219417,0.2742772674682147,0.1791056330132832
100510,0.10260370569926924,0.3699227267426032,0.1787329609863763
100512,0.3540110568540204,0.39246665281804854,0.1761794952349458
100517,0.10260370569926924,0.21769306801957364,0.17277223258733188
100548,0.12472143854947054,0.3253286143189467,0.16419275463686503
100551,0.15026263724985744,0.4375082131763564,0.19147329646981567
100552,0.2021144495603224,0.3671672247076062,0.18986167281613409
